age_group,sex,country,year,count_in,count_out
TOTAL,F,AT,1996,32883,27782.0
TOTAL,F,AT,1997,32392,29220.0
TOTAL,F,AT,1998,33793,27736.0
TOTAL,F,AT,1999,41346,29750.0
TOTAL,F,AT,2000,38157,28755.0
TOTAL,F,AT,2001,40892,31277.0
TOTAL,F,AT,2002,47998,32174.0
TOTAL,F,AT,2003,51045,28825.0
TOTAL,F,AT,2004,55240,29233.0
TOTAL,F,AT,2005,51192,28761.0
TOTAL,F,AT,2006,44237,30451.0
TOTAL,F,AT,2007,35106,21264.0
TOTAL,F,AT,2008,35800,22194.0
TOTAL,F,AT,2009,33019,22864.0
TOTAL,F,AT,2010,33863,22170.0
TOTAL,F,AT,2011,38007,22085.0
TOTAL,F,AT,2012,42524,22287.0
TOTAL,F,AT,2013,47432,23623.0
TOTAL,F,AT,2014,52494,23360.0
TOTAL,F,AT,2015,69345,24746.0
TOTAL,F,AT,2016,59191,28284.0
TOTAL,F,AT,2017,52863,28364.0
TOTAL,F,AT,2018,49456,28381.0
TOTAL,F,AT,2019,50613,28842.0
TOTAL,M,AT,1996,37047,38268.0
TOTAL,M,AT,1997,37730,39365.0
TOTAL,M,AT,1998,38930,36536.0
TOTAL,M,AT,1999,45364,37173.0
TOTAL,M,AT,2000,43519,35717.0
TOTAL,M,AT,2001,49036,41377.0
TOTAL,M,AT,2002,60127,42657.0
TOTAL,M,AT,2003,60824,43171.0
TOTAL,M,AT,2004,67307,42488.0
TOTAL,M,AT,2005,63273,41372.0
TOTAL,M,AT,2006,54298,43981.0
TOTAL,M,AT,2007,37756,28634.0
TOTAL,M,AT,2008,37972,29369.0
TOTAL,M,AT,2009,36276,30380.0
TOTAL,M,AT,2010,37115,29481.0
TOTAL,M,AT,2011,44223,29112.0
TOTAL,M,AT,2012,49033,29525.0
TOTAL,M,AT,2013,54434,30448.0
TOTAL,M,AT,2014,63768,30131.0
TOTAL,M,AT,2015,96978,31943.0
TOTAL,M,AT,2016,70318,36144.0
TOTAL,M,AT,2017,58938,37780.0
TOTAL,M,AT,2018,56177,38831.0
TOTAL,M,AT,2019,58554,39438.0
TOTAL,F,BE,1990,29563,16059.0
TOTAL,F,BE,1991,31406,16701.0
TOTAL,F,BE,1992,31583,16493.0
TOTAL,F,BE,1993,30297,20590.0
TOTAL,F,BE,1994,32834,17823.0
TOTAL,F,BE,1995,31610,17724.0
TOTAL,F,BE,1996,30882,18172.0
TOTAL,F,BE,1997,29363,19270.0
TOTAL,F,BE,1998,38156,31177.0
TOTAL,F,BE,1999,41928,31706.0
TOTAL,F,BE,2000,40944,32369.0
TOTAL,F,BE,2001,49841,31948.0
TOTAL,F,BE,2002,51673,32356.0
TOTAL,F,BE,2003,52075,33568.0
TOTAL,F,BE,2004,54549,35451.0
TOTAL,F,BE,2005,61257,36085.0
TOTAL,F,BE,2006,62400,36806.0
TOTAL,F,BE,2007,65674,37662.0
TOTAL,F,BE,2010,64372,28989.0
TOTAL,F,BE,2011,68912,35213.0
TOTAL,F,BE,2012,60747,39302.0
TOTAL,F,BE,2013,57203,42557.0
TOTAL,F,BE,2014,57681,40814.0
TOTAL,F,BE,2015,63217,38673.0
TOTAL,F,BE,2016,57056,39873.0
TOTAL,F,BE,2017,58613,39331.0
TOTAL,F,BE,2018,63164,38464.0
TOTAL,F,BE,2019,67947,41839.0
TOTAL,M,BE,1990,33099,16443.0
TOTAL,M,BE,1991,36054,17051.0
TOTAL,M,BE,1992,35180,17214.0
TOTAL,M,BE,1993,33452,24221.0
TOTAL,M,BE,1994,33313,18707.0
TOTAL,M,BE,1995,31340,18320.0
TOTAL,M,BE,1996,30640,18502.0
TOTAL,M,BE,1997,29486,20050.0
TOTAL,M,BE,1998,45656,40910.0
TOTAL,M,BE,1999,49696,42391.0
TOTAL,M,BE,2000,48444,42951.0
TOTAL,M,BE,2001,60569,43313.0
TOTAL,M,BE,2002,62184,43604.0
TOTAL,M,BE,2003,59985,45831.0
TOTAL,M,BE,2004,62687,48444.0
TOTAL,M,BE,2005,71553,50816.0
TOTAL,M,BE,2006,75299,51357.0
TOTAL,M,BE,2007,80735,53390.0
TOTAL,M,BE,2010,70909,37024.0
TOTAL,M,BE,2011,78465,48935.0
TOTAL,M,BE,2012,68730,54298.0
TOTAL,M,BE,2013,62875,60100.0
TOTAL,M,BE,2014,65477,53759.0
TOTAL,M,BE,2015,83409,51121.0
TOTAL,M,BE,2016,66646,52598.0
TOTAL,M,BE,2017,68090,50359.0
TOTAL,M,BE,2018,74696,50471.0
TOTAL,M,BE,2019,82059,61097.0
TOTAL,F,BG,2007,684,1839.0
TOTAL,F,BG,2012,5921,7779.0
TOTAL,F,BG,2013,8074,9837.0
TOTAL,F,BG,2014,11903,12980.0
TOTAL,F,BG,2015,11730,14110.0
TOTAL,F,BG,2016,10300,15177.0
TOTAL,F,BG,2017,13126,15540.0
TOTAL,F,BG,2018,14973,16154.0
TOTAL,F,BG,2019,18840,19400.0
TOTAL,M,BG,2007,877,1119.0
TOTAL,M,BG,2012,8182,8836.0
TOTAL,M,BG,2013,10496,9841.0
TOTAL,M,BG,2014,14712,15747.0
TOTAL,M,BG,2015,13493,15360.0
TOTAL,M,BG,2016,10941,15393.0
TOTAL,M,BG,2017,12471,16046.0
TOTAL,M,BG,2018,14586,17071.0
TOTAL,M,BG,2019,19089,20541.0
TOTAL,F,CH,1990,72508,46218.0
TOTAL,F,CH,1991,77819,48728.0
TOTAL,F,CH,1992,75641,54906.0
TOTAL,F,CH,1993,71620,50693.0
TOTAL,F,CH,1994,64892,47994.0
TOTAL,F,CH,1995,58066,47906.0
TOTAL,F,CH,1996,48649,49431.0
TOTAL,F,CH,1997,46220,47429.0
TOTAL,F,CH,1998,47858,45438.0
TOTAL,F,CH,1999,53754,43509.0
TOTAL,F,CH,2000,54772,42934.0
TOTAL,F,CH,2001,60938,39021.0
TOTAL,F,CH,2002,62811,37544.0
TOTAL,F,CH,2003,59095,36707.0
TOTAL,F,CH,2004,58292,37965.0
TOTAL,F,CH,2005,56293,38901.0
TOTAL,F,CH,2006,60043,40911.0
TOTAL,F,CH,2007,75202,41682.0
TOTAL,F,CH,2008,84471,39682.0
TOTAL,F,CH,2009,76124,39533.0
TOTAL,F,CH,2010,76513,44888.0
TOTAL,F,CH,2011,70755,43795.0
TOTAL,F,CH,2012,70586,46787.0
TOTAL,F,CH,2013,76841,47820.0
TOTAL,F,CH,2014,75173,49970.0
TOTAL,F,CH,2015,73714,52587.0
TOTAL,F,CH,2016,71356,54654.0
TOTAL,F,CH,2017,68334,56180.0
TOTAL,F,CH,2018,68991,58235.0
TOTAL,F,CH,2019,68757,56575.0
TOTAL,M,CH,1990,81736,51383.0
TOTAL,M,CH,1991,86954,54605.0
TOTAL,M,CH,1992,81549,62128.0
TOTAL,M,CH,1993,72917,54332.0
TOTAL,M,CH,1994,65296,51311.0
TOTAL,M,CH,1995,55901,51603.0
TOTAL,M,CH,1996,48942,53967.0
TOTAL,M,CH,1997,45467,51092.0
TOTAL,M,CH,1998,48097,49340.0
TOTAL,M,CH,1999,54199,48295.0
TOTAL,M,CH,2000,55530,47144.0
TOTAL,M,CH,2001,63139,43213.0
TOTAL,M,CH,2002,64529,40875.0
TOTAL,M,CH,2003,60688,40049.0
TOTAL,M,CH,2004,61896,41761.0
TOTAL,M,CH,2005,61977,43189.0
TOTAL,M,CH,2006,67543,47307.0
TOTAL,M,CH,2007,90432,48493.0
TOTAL,M,CH,2008,99826,46448.0
TOTAL,M,CH,2009,84499,46503.0
TOTAL,M,CH,2010,85265,51951.0
TOTAL,M,CH,2011,78044,52699.0
TOTAL,M,CH,2012,78465,57094.0
TOTAL,M,CH,2013,83316,58376.0
TOTAL,M,CH,2014,81109,61133.0
TOTAL,M,CH,2015,79913,64044.0
TOTAL,M,CH,2016,77949,65999.0
TOTAL,M,CH,2017,75043,68817.0
TOTAL,M,CH,2018,75866,71990.0
TOTAL,M,CH,2019,76372,69646.0
TOTAL,F,CY,2009,13026,2797.0
TOTAL,F,CY,2010,11494,2472.0
TOTAL,F,CY,2011,12707,2737.0
TOTAL,F,CY,2012,11681,12032.0
TOTAL,F,CY,2013,6675,13317.0
TOTAL,F,CY,2014,6448,13533.0
TOTAL,F,CY,2015,8688,9788.0
TOTAL,F,CY,2016,8829,8340.0
TOTAL,F,CY,2017,11316,8353.0
TOTAL,F,CY,2018,12209,8692.0
TOTAL,F,CY,2019,13936,10222.0
TOTAL,M,CY,2009,9555,2000.0
TOTAL,M,CY,2010,8712,1821.0
TOTAL,M,CY,2011,10330,2158.0
TOTAL,M,CY,2012,5795,6073.0
TOTAL,M,CY,2013,6474,11910.0
TOTAL,M,CY,2014,2764,10505.0
TOTAL,M,CY,2015,6495,7395.0
TOTAL,M,CY,2016,8562,6552.0
TOTAL,M,CY,2017,9990,6752.0
TOTAL,M,CY,2018,11233,6648.0
TOTAL,M,CY,2019,12234,7151.0
TOTAL,F,CZ,2001,5597,6930.0
TOTAL,F,CZ,2002,17038,10133.0
TOTAL,F,CZ,2003,20458,10452.0
TOTAL,F,CZ,2004,19068,10534.0
TOTAL,F,CZ,2005,22394,9519.0
TOTAL,F,CZ,2006,26198,13108.0
TOTAL,F,CZ,2007,40724,7773.0
TOTAL,F,CZ,2008,43498,21808.0
TOTAL,F,CZ,2009,32118,22896.0
TOTAL,F,CZ,2010,22549,23648.0
TOTAL,F,CZ,2011,12354,25275.0
TOTAL,F,CZ,2012,16182,20474.0
TOTAL,F,CZ,2013,13763,12165.0
TOTAL,F,CZ,2014,13455,13918.0
TOTAL,F,CZ,2015,13278,12318.0
TOTAL,F,CZ,2016,28174,18467.0
TOTAL,F,CZ,2017,21859,13298.0
TOTAL,F,CZ,2018,26603,12870.0
TOTAL,F,CZ,2019,39630,29729.0
TOTAL,M,CZ,2001,7321,14539.0
TOTAL,M,CZ,2002,27641,22256.0
TOTAL,M,CZ,2003,39557,23774.0
TOTAL,M,CZ,2004,34385,24284.0
TOTAL,M,CZ,2005,37900,14546.0
TOTAL,M,CZ,2006,41985,20355.0
TOTAL,M,CZ,2007,63721,12727.0
TOTAL,M,CZ,2008,64769,29670.0
TOTAL,M,CZ,2009,43502,38886.0
TOTAL,M,CZ,2010,25768,37421.0
TOTAL,M,CZ,2011,14760,30635.0
TOTAL,M,CZ,2012,18155,25632.0
TOTAL,M,CZ,2013,16361,13729.0
TOTAL,M,CZ,2014,16442,14550.0
TOTAL,M,CZ,2015,16324,13366.0
TOTAL,M,CZ,2016,35909,20397.0
TOTAL,M,CZ,2017,29988,14018.0
TOTAL,M,CZ,2018,39307,13872.0
TOTAL,M,CZ,2019,66258,48069.0
TOTAL,F,DE,1995,444239,243853.0
TOTAL,F,DE,1996,387815,235170.0
TOTAL,F,DE,1997,344093,269374.0
TOTAL,F,DE,1998,329311,284719.0
TOTAL,F,DE,1999,369049,248108.0
TOTAL,F,DE,2000,353319,247240.0
TOTAL,F,DE,2001,371734,222605.0
TOTAL,F,DE,2002,361458,232491.0
TOTAL,F,DE,2003,328987,233789.0
TOTAL,F,DE,2004,324574,261270.0
TOTAL,F,DE,2005,295730,238133.0
TOTAL,F,DE,2006,268273,244992.0
TOTAL,F,DE,2007,277266,244887.0
TOTAL,F,DE,2008,277387,289542.0
TOTAL,F,DE,2009,159074,124358.0
TOTAL,F,DE,2010,181171,109623.0
TOTAL,F,DE,2011,212723,105619.0
TOTAL,F,DE,2012,254559,100774.0
TOTAL,F,DE,2013,293749,105980.0
TOTAL,F,DE,2014,366641,130793.0
TOTAL,F,DE,2015,583387,133658.0
TOTAL,F,DE,2016,438182,196774.0
TOTAL,F,DE,2017,398579,200877.0
TOTAL,F,DE,2018,385951,193261.0
TOTAL,F,DE,2019,380218,207948.0
TOTAL,M,DE,1995,651809,454260.0
TOTAL,M,DE,1996,571876,442324.0
TOTAL,M,DE,1997,496540,477595.0
TOTAL,M,DE,1998,473145,470639.0
TOTAL,M,DE,1999,504974,423940.0
TOTAL,M,DE,2000,487839,426798.0
TOTAL,M,DE,2001,507483,383889.0
TOTAL,M,DE,2002,481085,390764.0
TOTAL,M,DE,2003,439988,392541.0
TOTAL,M,DE,2004,455601,436362.0
TOTAL,M,DE,2005,411622,390266.0
TOTAL,M,DE,2006,393582,394072.0
TOTAL,M,DE,2007,403500,391967.0
TOTAL,M,DE,2008,404759,448347.0
TOTAL,M,DE,2009,187142,162224.0
TOTAL,M,DE,2010,222884,142833.0
TOTAL,M,DE,2011,276699,143426.0
TOTAL,M,DE,2012,337616,139227.0
TOTAL,M,DE,2013,398964,153348.0
TOTAL,M,DE,2014,518252,193428.0
TOTAL,M,DE,2015,987660,204745.0
TOTAL,M,DE,2016,591670,336988.0
TOTAL,M,DE,2017,518530,359823.0
TOTAL,M,DE,2018,507935,347154.0
TOTAL,M,DE,2019,506123,368371.0
TOTAL,F,DK,1990,19845,15786.0
TOTAL,F,DK,1991,21883,16173.0
TOTAL,F,DK,1992,21661,16009.0
TOTAL,F,DK,1993,21854,16025.0
TOTAL,F,DK,1994,22524,16947.0
TOTAL,F,DK,1995,31213,16854.0
TOTAL,F,DK,1996,27075,18010.0
TOTAL,F,DK,1997,25099,18736.0
TOTAL,F,DK,1998,25734,19442.0
TOTAL,F,DK,1999,25514,19932.0
TOTAL,F,DK,2000,26646,20836.0
TOTAL,F,DK,2001,28141,20944.0
TOTAL,F,DK,2002,26481,20634.0
TOTAL,F,DK,2003,24740,20689.0
TOTAL,F,DK,2004,24755,21420.0
TOTAL,F,DK,2005,25992,21878.0
TOTAL,F,DK,2006,27396,21960.0
TOTAL,F,DK,2007,30933,19558.0
TOTAL,F,DK,2008,27417,17859.0
TOTAL,F,DK,2009,25773,18470.0
TOTAL,F,DK,2010,25850,19925.0
TOTAL,F,DK,2011,25634,20065.0
TOTAL,F,DK,2012,26502,21421.0
TOTAL,F,DK,2013,28941,21288.0
TOTAL,F,DK,2014,31649,21768.0
TOTAL,F,DK,2015,35946,21857.0
TOTAL,F,DK,2016,35097,25137.0
TOTAL,F,DK,2017,32857,26554.0
TOTAL,F,DK,2018,30866,28476.0
TOTAL,F,DK,2019,29051,31047.0
TOTAL,M,DK,1990,20870,16597.0
TOTAL,M,DK,1991,21684,16456.0
TOTAL,M,DK,1992,21716,15906.0
TOTAL,M,DK,1993,21546,16319.0
TOTAL,M,DK,1994,22437,17763.0
TOTAL,M,DK,1995,31974,17776.0
TOTAL,M,DK,1996,27370,19302.0
TOTAL,M,DK,1997,25006,19657.0
TOTAL,M,DK,1998,25638,20898.0
TOTAL,M,DK,1999,24722,21408.0
TOTAL,M,DK,2000,26269,22581.0
TOTAL,M,DK,2001,27843,23036.0
TOTAL,M,DK,2002,26297,22847.0
TOTAL,M,DK,2003,25014,22777.0
TOTAL,M,DK,2004,25105,23597.0
TOTAL,M,DK,2005,26466,23991.0
TOTAL,M,DK,2006,29354,24826.0
TOTAL,M,DK,2007,33723,22008.0
TOTAL,M,DK,2008,29940,20497.0
TOTAL,M,DK,2009,26027,21429.0
TOTAL,M,DK,2010,26386,21531.0
TOTAL,M,DK,2011,27199,21528.0
TOTAL,M,DK,2012,27907,22242.0
TOTAL,M,DK,2013,31371,22022.0
TOTAL,M,DK,2014,36739,22658.0
TOTAL,M,DK,2015,42546,22768.0
TOTAL,M,DK,2016,39286,27517.0
TOTAL,M,DK,2017,35722,29849.0
TOTAL,M,DK,2018,33803,31905.0
TOTAL,M,DK,2019,32333,35473.0
TOTAL,F,EE,2000,17,969.0
TOTAL,F,EE,2001,140,1157.0
TOTAL,F,EE,2002,296,1079.0
TOTAL,F,EE,2003,487,1738.0
TOTAL,F,EE,2004,519,1541.0
TOTAL,F,EE,2005,608,2512.0
TOTAL,F,EE,2006,1018,3003.0
TOTAL,F,EE,2007,1648,2304.0
TOTAL,F,EE,2008,1490,2347.0
TOTAL,F,EE,2009,1516,2568.0
TOTAL,F,EE,2010,1173,2774.0
TOTAL,F,EE,2011,1577,3277.0
TOTAL,F,EE,2012,1200,3276.0
TOTAL,F,EE,2013,1895,3618.0
TOTAL,F,EE,2014,1728,2475.0
TOTAL,F,EE,2015,6006,5645.0
TOTAL,F,EE,2016,5928,5696.0
TOTAL,F,EE,2017,6811,5230.0
TOTAL,F,EE,2018,6875,4413.0
TOTAL,F,EE,2019,7327,5523.0
TOTAL,M,EE,2000,18,815.0
TOTAL,M,EE,2001,101,1018.0
TOTAL,M,EE,2002,279,959.0
TOTAL,M,EE,2003,480,1335.0
TOTAL,M,EE,2004,578,1386.0
TOTAL,M,EE,2005,828,2098.0
TOTAL,M,EE,2006,1216,2524.0
TOTAL,M,EE,2007,2093,2080.0
TOTAL,M,EE,2008,2181,2059.0
TOTAL,M,EE,2009,2368,2090.0
TOTAL,M,EE,2010,1637,2520.0
TOTAL,M,EE,2011,2132,2937.0
TOTAL,M,EE,2012,1439,3045.0
TOTAL,M,EE,2013,2214,3122.0
TOTAL,M,EE,2014,2176,2162.0
TOTAL,M,EE,2015,9407,7358.0
TOTAL,M,EE,2016,8894,8096.0
TOTAL,M,EE,2017,10805,7128.0
TOTAL,M,EE,2018,10672,6063.0
TOTAL,M,EE,2019,10932,7278.0
TOTAL,F,EL,2008,32056,18932.0
TOTAL,F,EL,2009,28223,19051.0
TOTAL,F,EL,2010,27718,29093.0
TOTAL,F,EL,2011,27611,33429.0
TOTAL,F,EL,2012,26743,44160.0
TOTAL,F,EL,2013,26626,42130.0
TOTAL,F,EL,2014,26859,39866.0
TOTAL,F,EL,2015,28857,44086.0
TOTAL,F,EL,2016,46483,46139.0
TOTAL,F,EL,2017,44107,44758.0
TOTAL,F,EL,2018,46804,44647.0
TOTAL,F,EL,2019,48662,41159.0
TOTAL,M,EL,2008,34473,24112.0
TOTAL,M,EL,2009,30390,24635.0
TOTAL,M,EL,2010,32744,32948.0
TOTAL,M,EL,2011,32478,58975.0
TOTAL,M,EL,2012,31457,80534.0
TOTAL,M,EL,2013,31320,74964.0
TOTAL,M,EL,2014,32154,66938.0
TOTAL,M,EL,2015,35589,65265.0
TOTAL,M,EL,2016,70384,60396.0
TOTAL,M,EL,2017,68140,58569.0
TOTAL,M,EL,2018,72685,58402.0
TOTAL,M,EL,2019,80797,53861.0
TOTAL,F,ES,2002,229501,18757.0
TOTAL,F,ES,2003,226141,13062.0
TOTAL,F,ES,2004,310240,24288.0
TOTAL,F,ES,2005,330462,29765.0
TOTAL,F,ES,2006,399019,60145.0
TOTAL,F,ES,2007,437355,94217.0
TOTAL,F,ES,2008,288812,118975.0
TOTAL,F,ES,2009,200675,153987.0
TOTAL,F,ES,2010,183877,165182.0
TOTAL,F,ES,2011,190386,168063.0
TOTAL,F,ES,2012,154304,186569.0
TOTAL,F,ES,2013,141299,232711.0
TOTAL,F,ES,2014,153505,177646.0
TOTAL,F,ES,2015,172488,153467.0
TOTAL,F,ES,2016,210537,147505.0
TOTAL,F,ES,2017,271971,167855.0
TOTAL,F,ES,2018,324602,142389.0
TOTAL,F,ES,2019,374445,137172.0
TOTAL,M,ES,2002,253759,17848.0
TOTAL,M,ES,2003,243869,12897.0
TOTAL,M,ES,2004,374321,30804.0
TOTAL,M,ES,2005,388822,38246.0
TOTAL,M,ES,2006,441825,82151.0
TOTAL,M,ES,2007,520911,132848.0
TOTAL,M,ES,2008,310263,169457.0
TOTAL,M,ES,2009,192287,226134.0
TOTAL,M,ES,2010,176828,238195.0
TOTAL,M,ES,2011,180945,240971.0
TOTAL,M,ES,2012,149749,260037.0
TOTAL,M,ES,2013,139473,299592.0
TOTAL,M,ES,2014,151949,222784.0
TOTAL,M,ES,2015,169626,190408.0
TOTAL,M,ES,2016,204209,179820.0
TOTAL,M,ES,2017,260161,201005.0
TOTAL,M,ES,2018,319082,167137.0
TOTAL,M,ES,2019,376035,159076.0
TOTAL,F,FI,1990,6359,3252.0
TOTAL,F,FI,1991,8709,3035.0
TOTAL,F,FI,1992,7015,3061.0
TOTAL,F,FI,1993,7339,3256.0
TOTAL,F,FI,1994,5954,4451.0
TOTAL,F,FI,1995,6211,4510.0
TOTAL,F,FI,1996,6716,5406.0
TOTAL,F,FI,1997,7003,5016.0
TOTAL,F,FI,1998,7306,5672.0
TOTAL,F,FI,1999,7394,6283.0
TOTAL,F,FI,2000,8490,7259.0
TOTAL,F,FI,2001,9508,6901.0
TOTAL,F,FI,2002,9037,6556.0
TOTAL,F,FI,2003,8960,6256.0
TOTAL,F,FI,2004,10203,6815.0
TOTAL,F,FI,2005,10518,6331.0
TOTAL,F,FI,2006,10846,6071.0
TOTAL,F,FI,2007,12282,6228.0
TOTAL,F,FI,2008,13250,6663.0
TOTAL,F,FI,2009,12753,5891.0
TOTAL,F,FI,2010,12177,6052.0
TOTAL,F,FI,2011,14380,6369.0
TOTAL,F,FI,2012,15178,7003.0
TOTAL,F,FI,2013,15485,7037.0
TOTAL,F,FI,2014,15446,7722.0
TOTAL,F,FI,2015,13586,8212.0
TOTAL,F,FI,2016,15300,9176.0
TOTAL,F,FI,2017,14581,8814.0
TOTAL,F,FI,2018,14543,9439.0
TOTAL,F,FI,2019,15478,8619.0
TOTAL,M,FI,1990,7199,3225.0
TOTAL,M,FI,1991,10292,2949.0
TOTAL,M,FI,1992,7539,2994.0
TOTAL,M,FI,1993,7456,3149.0
TOTAL,M,FI,1994,5657,4221.0
TOTAL,M,FI,1995,6011,4447.0
TOTAL,M,FI,1996,6578,5181.0
TOTAL,M,FI,1997,6561,4838.0
TOTAL,M,FI,1998,6886,5145.0
TOTAL,M,FI,1999,7350,5683.0
TOTAL,M,FI,2000,8405,7052.0
TOTAL,M,FI,2001,9447,6252.0
TOTAL,M,FI,2002,9076,6335.0
TOTAL,M,FI,2003,8878,5827.0
TOTAL,M,FI,2004,10130,6841.0
TOTAL,M,FI,2005,10837,6038.0
TOTAL,M,FI,2006,11605,6036.0
TOTAL,M,FI,2007,13747,6215.0
TOTAL,M,FI,2008,15864,6994.0
TOTAL,M,FI,2009,13946,6260.0
TOTAL,M,FI,2010,13459,5853.0
TOTAL,M,FI,2011,15101,6291.0
TOTAL,M,FI,2012,16100,6842.0
TOTAL,M,FI,2013,16456,6856.0
TOTAL,M,FI,2014,16061,7764.0
TOTAL,M,FI,2015,15160,8093.0
TOTAL,M,FI,2016,19605,8906.0
TOTAL,M,FI,2017,17216,8159.0
TOTAL,M,FI,2018,16563,9702.0
TOTAL,M,FI,2019,17280,8644.0
TOTAL,F,FR,2006,157149,103946.0
TOTAL,F,FR,2007,153747,111246.0
TOTAL,F,FR,2008,154111,118993.0
TOTAL,F,FR,2009,155641,134815.0
TOTAL,F,FR,2010,160430,139157.0
TOTAL,F,FR,2011,166794,142513.0
TOTAL,F,FR,2012,171620,133909.0
TOTAL,F,FR,2013,176890,113502.0
TOTAL,F,FR,2014,177841,138382.0
TOTAL,F,FR,2015,187004,141372.0
TOTAL,F,FR,2016,192791,133274.0
TOTAL,F,FR,2017,189408,93384.0
TOTAL,F,FR,2018,197032,129768.0
TOTAL,F,FR,2019,197910,130531.0
TOTAL,M,FR,2006,144395,85457.0
TOTAL,M,FR,2007,140233,109108.0
TOTAL,M,FR,2008,142497,120803.0
TOTAL,M,FR,2009,141329,129816.0
TOTAL,M,FR,2010,146681,130374.0
TOTAL,M,FR,2011,153022,149081.0
TOTAL,M,FR,2012,155811,122013.0
TOTAL,M,FR,2013,161862,126311.0
TOTAL,M,FR,2014,162542,169721.0
TOTAL,M,FR,2015,177217,183145.0
TOTAL,M,FR,2016,184918,180348.0
TOTAL,M,FR,2017,180213,122086.0
TOTAL,M,FR,2018,190126,170900.0
TOTAL,M,FR,2019,187681,168570.0
TOTAL,F,HR,1991,3903,3804.0
TOTAL,F,HR,1992,21861,4273.0
TOTAL,F,HR,1993,26745,4484.0
TOTAL,F,HR,1994,15690,4569.0
TOTAL,F,HR,1995,20350,6475.0
TOTAL,F,HR,1996,21909,4272.0
TOTAL,F,HR,1997,25832,7832.0
TOTAL,F,HR,1998,26429,3194.0
TOTAL,F,HR,2001,12491,3874.0
TOTAL,F,HR,2002,10170,5183.0
TOTAL,F,HR,2003,9148,3128.0
TOTAL,F,HR,2004,9002,3366.0
TOTAL,F,HR,2006,6823,3852.0
TOTAL,F,HR,2007,6682,4462.0
TOTAL,F,HR,2008,7246,4542.0
TOTAL,F,HR,2009,5400,5548.0
TOTAL,F,HR,2010,4080,5677.0
TOTAL,F,HR,2011,4280,5931.0
TOTAL,F,HR,2012,4320,6496.0
TOTAL,F,HR,2013,4954,7360.0
TOTAL,F,HR,2014,4966,9256.0
TOTAL,F,HR,2015,5165,13715.0
TOTAL,F,HR,2016,5597,16733.0
TOTAL,F,HR,2017,5734,21138.0
TOTAL,F,HR,2018,6614,17759.0
TOTAL,F,HR,2019,8579,16953.0
TOTAL,M,HR,1991,6147,4843.0
TOTAL,M,HR,1992,26463,4586.0
TOTAL,M,HR,1993,30957,4685.0
TOTAL,M,HR,1994,17736,5594.0
TOTAL,M,HR,1995,21676,8938.0
TOTAL,M,HR,1996,22687,5755.0
TOTAL,M,HR,1997,26511,10699.0
TOTAL,M,HR,1998,25355,4116.0
TOTAL,M,HR,2001,11924,3614.0
TOTAL,M,HR,2002,10195,6584.0
TOTAL,M,HR,2003,9307,3406.0
TOTAL,M,HR,2004,9381,3446.0
TOTAL,M,HR,2006,8155,3840.0
TOTAL,M,HR,2007,7940,4540.0
TOTAL,M,HR,2008,9637,6096.0
TOTAL,M,HR,2009,7813,6807.0
TOTAL,M,HR,2010,4766,7340.0
TOTAL,M,HR,2011,4254,6768.0
TOTAL,M,HR,2012,4639,6381.0
TOTAL,M,HR,2013,5424,7902.0
TOTAL,M,HR,2014,5672,11602.0
TOTAL,M,HR,2015,6541,15936.0
TOTAL,M,HR,2016,8388,19703.0
TOTAL,M,HR,2017,9819,26214.0
TOTAL,M,HR,2018,19415,21756.0
TOTAL,M,HR,2019,29147,23195.0
TOTAL,F,HU,1995,6836,1154.0
TOTAL,F,HU,1996,6736,1421.0
TOTAL,F,HU,1997,6610,1116.0
TOTAL,F,HU,1998,8190,1208.0
TOTAL,F,HU,1999,10664,980.0
TOTAL,F,HU,2000,10698,959.0
TOTAL,F,HU,2001,10464,1272.0
TOTAL,F,HU,2002,8822,1392.0
TOTAL,F,HU,2003,9038,1402.0
TOTAL,F,HU,2004,10847,1549.0
TOTAL,F,HU,2005,12034,1395.0
TOTAL,F,HU,2006,11432,1633.0
TOTAL,F,HU,2007,10708,1772.0
TOTAL,F,HU,2008,15638,4310.0
TOTAL,F,HU,2009,12155,4449.0
TOTAL,F,HU,2010,11229,6032.0
TOTAL,F,HU,2011,12614,6907.0
TOTAL,F,HU,2012,15072,10049.0
TOTAL,F,HU,2013,17069,15012.0
TOTAL,F,HU,2014,23746,18871.0
TOTAL,F,HU,2015,25193,19540.0
TOTAL,F,HU,2016,23497,18200.0
TOTAL,F,HU,2017,29167,17767.0
TOTAL,F,HU,2018,34015,20887.0
TOTAL,F,HU,2019,35659,20379.0
TOTAL,M,HU,1995,8599,2019.0
TOTAL,M,HU,1996,8248,2221.0
TOTAL,M,HU,1997,7832,1706.0
TOTAL,M,HU,1998,9079,1851.0
TOTAL,M,HU,1999,10758,1841.0
TOTAL,M,HU,2000,11028,1581.0
TOTAL,M,HU,2001,11615,1319.0
TOTAL,M,HU,2002,11033,1734.0
TOTAL,M,HU,2003,12289,1720.0
TOTAL,M,HU,2004,13451,2271.0
TOTAL,M,HU,2005,15786,2263.0
TOTAL,M,HU,2006,14300,2681.0
TOTAL,M,HU,2007,13653,2728.0
TOTAL,M,HU,2008,22014,5281.0
TOTAL,M,HU,2009,15739,6034.0
TOTAL,M,HU,2010,14290,7333.0
TOTAL,M,HU,2011,15404,8193.0
